Country,first_CPI,last_CPI,first_GDP,last_GDP,start_year,end_year,num_years,CPI_AAGR_percent,GDP_AAGR_percent
Mongolia,0.0435161009571923,10.3475831314339,1452165005.0,20325121394.0,1995,2023,28,21.580490462031854,9.882665295794268
Sint Maarten (Dutch part),0.300601202404805,2.19201010962985,854972067.0,1353212123.0,2006,2017,11,19.795657722534088,4.262597722701034
Zimbabwe,3.02267002518892,10.6188658669575,12041655200.0,34156069918.0,2010,2018,8,17.006752153039486,13.919406394947575
Sudan,0.092240285829437,17.750253831196,1126364162.0,42630376000.0,1960,2016,56,9.847653553058144,6.703653987698188
Lebanon,1.19509671165543,3.00538949390383,35399582929.0,51605959131.0,2009,2019,10,9.66038625194383,3.841313010831704
Senegal,0.0583333328330434,5.93947798773215,1309384862.0,30848333084.0,1968,2023,55,8.769223225756217,5.912798491719284
"Yemen, Rep.",2.17672667372646,8.10472583623915,6838298531.0,43228585321.0,1997,2014,17,8.039950909385919,11.456970238106411
Montenegro,2.92451258123648,8.58476910455403,2721903149.0,7530593375.0,2006,2023,17,6.539413450986431,6.168930609678136
Antigua and Barbuda,1.12128789571146,5.06713865364213,835514814.8,2033085185.0,1999,2023,24,6.486258742226281,3.7747571820115455
Benin,0.440599214931768,2.73102465280233,2274558083.0,19676049076.0,1993,2023,30,6.269685845129636,7.456995995737503
